defect n.缺点；瑕疵
flexible adj.易弯曲的；灵活的
scent n.⾹味；踪迹v.嗅到
collide v.碰撞；冲突
tragic adj.悲惨的；悲剧的
erroneous adj.错误的；不正确的
shuttle n.航天⻜机；梭⼦
participate v.参加
advantage n.优点；好处
exceptional adj.杰出的；异常的
hinder v.妨碍
hesitate v.犹豫；不情愿
compromise n.|v.妥协
underlying adj.含蓄的；潜在的
feedback n.反馈
qualification n.合格证书
variable adj.易变的n.变量
enthusiastic adj.满腔热情的
precede v.在...之前；先于
range n.⼀系列；范围；距离
episode n.⼀个事件；插曲
abuse v.滥⽤；虐待；辱骂
condemn v.谴责；宣判
appreciate v.重视；欣赏
sculpture n.雕刻；雕刻作品
weird adj.古怪的；怪诞的
previous adj.以前的
wander v.漫游；⾛神
supervise v.监督；管理
mortal adj.致命的
explosive adj爆炸的n.炸药
competence n.能⼒；胜任
investigate v.调查；研究
eliminate v.排除；淘汰
migrate v.迁移
reckless adj.鲁莽的
penalty n.处罚；罚⾦
impose v.把...强加于
accomplish v.完成；实现
sponsor n.发起者；赞助者
tumble v.跌倒；暴跌
uphold v.⽀持；维护
propel v.推动；驱使
descent n.下降；斜坡
drawback n.缺点；不利条件
illuminate v.照明；阐明
adhere v.黏附；遵守；坚持
indicative adj.象征的
reckon v.认为；考虑到
redundant adj.多余的
dominate v.⽀配
reverse v.撤销反转adj.反⾯的
proportion n.⽐例；部分
calculate v.计算；估计
identical adj.相同的
innovation n.改⾰；创新
intrigued adj.好奇的；被迷住的
encounter v.|n.遇到；遭遇
energetic adj.精⼒充沛的
heighten v.提⾼；加强
passive adj.被动的；消极的
consumption n.消耗量；消耗
bald adj.秃的；磨光的
spill v.溢出；洒落
calorie n.卡
doubtful adj.难以预测的；可疑的
prevalent adj.流⾏的；普遍的
appeal n.|v.恳求；吸引⼒；上诉
dump v.倾倒；丢弃n.垃圾场
yell n.叫喊
saying n.谚语
forecast n.|v.预测
brew v.酿造；冲泡n.茶；咖啡
circulation n.循环；流通
perceive v.感知；认识到
appearance n.出现；外表
export n.出⼝v.出⼝
transfer v.转移；调动；转学
genetic adj.遗传的
offspring n.后代
distribute v.分布；发散
accompany v.陪伴；伴随
persist v.坚持不懈；持续
differentiate v.区别；使不同
perspective n.视⻆；透视图
fabricate v.捏造；制造
abundance n.⼤量；充⾜
batch n.⼀批；⼀群；⼀批⽣产量
elapse v.流逝
seal n.封条；图章；海豹
mature adj.成熟的；成年⼈的
combination n.结合
lean v.倾斜；靠adj.瘦的n.瘦⾁
incline v.倾斜n.斜坡
index n.索引；指数v.为...编索引
nutrition n.营养
constant adj.持续不断的
regardless adv.不管怎样
refund n.退款v.退还
discern v.察觉出；识别
stumble v.绊倒；跌跌撞撞地⾛
negligible adj.可忽略不计的
assault n.攻击；袭击
transit n.运输
concrete adj.具体的n.混凝⼟
magnify v.放⼤；夸⼤
poisonous adj.有毒的；恶毒的
virtual adj.事实上的；虚拟的
thesis n.论⽂；毕业论⽂
predecessor n.前辈；前任
geology n.地质学
invaluable adj.宝贵的；⽆价的
adjacent adj.相邻的
captive adj.被捕获的n.俘虏
catholic adj.天主教的
adjoin v.贴近；与...毗连
ballet n.芭蕾舞
traditional adj.传统的；惯例的
extraordinary adj.⾮凡的
perpetual adj.永恒的；不断的
prejudice n.偏⻅v.使有成⻅
fancy v.|n.喜欢；想象⼒
optical adj.光的；视觉的
consequence n.结果；重要
astronomy n.天⽂学
catastrophe n.⼤灾难
foresee v.预⻅；预知
prescribe v.指定；开处⽅
certify v.证明；发证书给
absurd adj.荒谬的
donate v.捐赠
transplant v.|n.移植
ample adj.⾜够的；⼤量的
dynamic adj.有活⼒的n.动⼒
terrific adj.极妙的；极⼤的
cafeteria n.⾃助餐馆；⻝堂
disregard v.不理会n.漠视
overload v.超过负荷n.超载
compel v.强迫
ignorant adj.⽆知的
aggravate v.加重；激怒
inherent adj.内在的；固有的
restore v.恢复；归还
preview n.预演；预告
explicit adj.明确的；清楚的
anniversary n.周年纪念
approach v.靠近n.途径
depict v.描绘
evolution n.演变；进化
overcome v.克服；压倒
vigorous adj.精⼒充沛的
recreation n.娱乐活动；消遣
stable adj.稳定的n.⻢厩
framework n.框架；体系；结构
brochure ⼩册⼦
consequent adj.作为结果的
occupy v.占⽤；占领
profile n.轮廓v.为...描绘
compose v.构成；创作
compulsory adj.强制的；必修的
personnel n.全体⼈员
complicated adj.复杂的
dioxide n.⼆氧化物
nuisance n.讨厌的⼈
toxic adj.有毒的
offend v.冒犯；使厌恶
retrieve v.重新得到；恢复
inject v.注射；注⼊
vacuum n.真空v.⽤吸尘器清扫
polish v.抛光；润⾊n.擦光剂
eligible adj.有资格的；合格的
antique adj.古⽼的n.古董
memorial adj.纪念的n.纪念碑
pedal n.踏板v.踩踏板；骑⾃⾏⻋
hazard n.危险v.尝试着做
prophet n.先知；预⾔家
sacred adj.神圣的；宗教的
salute v.向...敬礼；赞扬；敬礼
proceed v.进⾏；⾏进
slump v.暴跌n.低潮
thrive v.兴旺，繁荣
esteem n.|v.尊重
currency n.货币；通⾏
exert v.运⽤；努⼒
oriental adj.东⽅的；东⽅⽂化的
ignorance n.⽆知
kidney n.肾
vain adj.徒劳的；⾃负的
violate v.违反；亵渎；侵犯
cancel v.取消；抵消；划掉
divorce v.离婚；分离
accord n.⼀致；协议v.授予
bribe n.贿赂
economy n.经济；节约
identification n.身份证明
ability n.能⼒；才能
brief adj.短暂的；简短的n.摘要
conserve v.保护；保存
fraction n.⼩部分；分数
slash v.砍；⼤幅度削减n.砍
bonus n.奖⾦
annual adj.每年的n.年报
metric adj.公制的；⽶制的
profitable adj.有利可图的
precise adj.精确的；严谨的
notorious adj.臭名昭著的
